string,numbers,errors
bfcfccfcfcf,"[2, 6, 3, 6, 3, 3, 6, 3, 6, 3, 6]",0
bdcccfadcff,"[2, 4, 3, 3, 3, 6, 1, 4, 3, 6, 6]",0
eadcbbeadcb,"[5, 1, 4, 3, 2, 2, 5, 1, 4, 3, 2]",0
fcfadccbcbb,"[6, 3, 6, 1, 4, 3, 3, 2, 3, 2, 2]",0
eadcbfeadcf,"[5, 1, 4, 3, 2, 6, 5, 1, 4, 3, 6]",0
fffeadcbead,"[6, 6, 6, 5, 1, 4, 3, 2, 5, 1, 4]",0
dcbadcbdcfa,"[4, 3, 2, 1, 4, 3, 2, 4, 3, 6, 1]",0
eadccbcbdcc,"[5, 1, 4, 3, 3, 2, 3, 2, 4, 3, 3]",0
ffcccbadcbc,"[6, 6, 3, 3, 3, 2, 1, 4, 3, 2, 3]",0
ccfadccbfea,"[3, 3, 6, 1, 4, 3, 3, 2, 6, 5, 1]",0
eadcfadcbcf,"[5, 1, 4, 3, 6, 1, 4, 3, 2, 3, 6]",0
bfadcbeadcc,"[2, 6, 1, 4, 3, 2, 5, 1, 4, 3, 3]",0
dcbccffadcc,"[4, 3, 2, 3, 3, 6, 6, 1, 4, 3, 3]",0
beadcccbead,"[2, 5, 1, 4, 3, 3, 3, 2, 5, 1, 4]",0
bfeadcbeadc,"[2, 6, 5, 1, 4, 3, 2, 5, 1, 4, 3]",0
bccccccfcfc,"[2, 3, 3, 3, 3, 3, 3, 6, 3, 6, 3]",0
bfadcccbbfe,"[2, 6, 1, 4, 3, 3, 3, 2, 2, 6, 5]",0
beadccccbbd,"[2, 5, 1, 4, 3, 3, 3, 3, 2, 2, 4]",0
fcbbffadcba,"[6, 3, 2, 2, 6, 6, 1, 4, 3, 2, 1]",0
cfadcbcbcfc,"[3, 6, 1, 4, 3, 2, 3, 2, 3, 6, 3]",0
cbbfeadcfea,"[3, 2, 2, 6, 5, 1, 4, 3, 6, 5, 1]",0
cccfccfeadc,"[3, 3, 3, 6, 3, 3, 6, 5, 1, 4, 3]",0
eadcfeadccb,"[5, 1, 4, 3, 6, 5, 1, 4, 3, 3, 2]",0
dccfcfcfcfa,"[4, 3, 3, 6, 3, 6, 3, 6, 3, 6, 1]",0
eadccbcfadc,"[5, 1, 4, 3, 3, 2, 3, 6, 1, 4, 3]",0
dcbadcbeadc,"[4, 3, 2, 1, 4, 3, 2, 5, 1, 4, 3]",0
bbeadcbffea,"[2, 2, 5, 1, 4, 3, 2, 6, 6, 5, 1]",0
eadcffadcfa,"[5, 1, 4, 3, 6, 6, 1, 4, 3, 6, 1]",0
cbdccccffea,"[3, 2, 4, 3, 3, 3, 3, 6, 6, 5, 1]",0
fadcfadccfa,"[6, 1, 4, 3, 6, 1, 4, 3, 3, 6, 1]",0
fadcbadcfad,"[6, 1, 4, 3, 2, 1, 4, 3, 6, 1, 4]",0
fadcfadccbd,"[6, 1, 4, 3, 6, 1, 4, 3, 3, 2, 4]",0
cffeadcfadc,"[3, 6, 6, 5, 1, 4, 3, 6, 1, 4, 3]",0
dccbdccfccf,"[4, 3, 3, 2, 4, 3, 3, 6, 3, 3, 6]",0
fadccbeadcb,"[6, 1, 4, 3, 3, 2, 5, 1, 4, 3, 2]",0
dccbbdcffad,"[4, 3, 3, 2, 2, 4, 3, 6, 6, 1, 4]",0
dcccfadccff,"[4, 3, 3, 3, 6, 1, 4, 3, 3, 6, 6]",0
eadcbadcffa,"[5, 1, 4, 3, 2, 1, 4, 3, 6, 6, 1]",0
cfeadccbccf,"[3, 6, 5, 1, 4, 3, 3, 2, 3, 3, 6]",0
dcbdccbeadc,"[4, 3, 2, 4, 3, 3, 2, 5, 1, 4, 3]",0
fadcbfeadcb,"[6, 1, 4, 3, 2, 6, 5, 1, 4, 3, 2]",0
cfccbccfadc,"[3, 6, 3, 3, 2, 3, 3, 6, 1, 4, 3]",0
adccbbeadcb,"[1, 4, 3, 3, 2, 2, 5, 1, 4, 3, 2]",0
adcfeadcffe,"[1, 4, 3, 6, 5, 1, 4, 3, 6, 6, 5]",0
bcbeadcfadc,"[2, 3, 2, 5, 1, 4, 3, 6, 1, 4, 3]",0
bbbccbcfead,"[2, 2, 2, 3, 3, 2, 3, 6, 5, 1, 4]",0
bffadcbfadc,"[2, 6, 6, 1, 4, 3, 2, 6, 1, 4, 3]",0
dcbccbadccc,"[4, 3, 2, 3, 3, 2, 1, 4, 3, 3, 3]",0
cfcbcbfeadc,"[3, 6, 3, 2, 3, 2, 6, 5, 1, 4, 3]",0
dcbccbadcff,"[4, 3, 2, 3, 3, 2, 1, 4, 3, 6, 6]",0
cffadcfadcf,"[3, 6, 6, 1, 4, 3, 6, 1, 4, 3, 6]",0
adcbeadccbc,"[1, 4, 3, 2, 5, 1, 4, 3, 3, 2, 3]",0
dcfadcfcbdc,"[4, 3, 6, 1, 4, 3, 6, 3, 2, 4, 3]",0
cbdccfadccf,"[3, 2, 4, 3, 3, 6, 1, 4, 3, 3, 6]",0
feadcfeadcc,"[6, 5, 1, 4, 3, 6, 5, 1, 4, 3, 3]",0
eadcbeadcbb,"[5, 1, 4, 3, 2, 5, 1, 4, 3, 2, 2]",0
fccffccfcbd,"[6, 3, 3, 6, 6, 3, 3, 6, 3, 2, 4]",0
fcbadcfcfad,"[6, 3, 2, 1, 4, 3, 6, 3, 6, 1, 4]",0
bfeadcbeadc,"[2, 6, 5, 1, 4, 3, 2, 5, 1, 4, 3]",0
bbbfadcbbcf,"[2, 2, 2, 6, 1, 4, 3, 2, 2, 3, 6]",0
eadcbdcfead,"[5, 1, 4, 3, 2, 4, 3, 6, 5, 1, 4]",0
ffeadcbbfad,"[6, 6, 5, 1, 4, 3, 2, 2, 6, 1, 4]",0
dcbdcbeadcb,"[4, 3, 2, 4, 3, 2, 5, 1, 4, 3, 2]",0
bfadcffadcb,"[2, 6, 1, 4, 3, 6, 6, 1, 4, 3, 2]",0
eadcfadcbfa,"[5, 1, 4, 3, 6, 1, 4, 3, 2, 6, 1]",0
cccccfcfead,"[3, 3, 3, 3, 3, 6, 3, 6, 5, 1, 4]",0
adccccccccf,"[1, 4, 3, 3, 3, 3, 3, 3, 3, 3, 6]",0
dcfeadccbbb,"[4, 3, 6, 5, 1, 4, 3, 3, 2, 2, 2]",0
adcbeadcbff,"[1, 4, 3, 2, 5, 1, 4, 3, 2, 6, 6]",0
bfadccfadcb,"[2, 6, 1, 4, 3, 3, 6, 1, 4, 3, 2]",0
adcbcfadccf,"[1, 4, 3, 2, 3, 6, 1, 4, 3, 3, 6]",0
bdcfadccfad,"[2, 4, 3, 6, 1, 4, 3, 3, 6, 1, 4]",0
cbdcbcbcbff,"[3, 2, 4, 3, 2, 3, 2, 3, 2, 6, 6]",0
eadccccbadc,"[5, 1, 4, 3, 3, 3, 3, 2, 1, 4, 3]",0
dcbeadcffea,"[4, 3, 2, 5, 1, 4, 3, 6, 6, 5, 1]",0
feadccbbbfe,"[6, 5, 1, 4, 3, 3, 2, 2, 2, 6, 5]",0
fadccfeadcb,"[6, 1, 4, 3, 3, 6, 5, 1, 4, 3, 2]",0
bdcbadcbead,"[2, 4, 3, 2, 1, 4, 3, 2, 5, 1, 4]",0
adcbcfadcfe,"[1, 4, 3, 2, 3, 6, 1, 4, 3, 6, 5]",0
dccbeadcbea,"[4, 3, 3, 2, 5, 1, 4, 3, 2, 5, 1]",0
beadccbdccf,"[2, 5, 1, 4, 3, 3, 2, 4, 3, 3, 6]",0
adccccffcff,"[1, 4, 3, 3, 3, 3, 6, 6, 3, 6, 6]",0
dccccbeadcb,"[4, 3, 3, 3, 3, 2, 5, 1, 4, 3, 2]",0
dcffeadcffc,"[4, 3, 6, 6, 5, 1, 4, 3, 6, 6, 3]",0
fffeadccbdc,"[6, 6, 6, 5, 1, 4, 3, 3, 2, 4, 3]",0
adcffeadcff,"[1, 4, 3, 6, 6, 5, 1, 4, 3, 6, 6]",0
cbffcbadcba,"[3, 2, 6, 6, 3, 2, 1, 4, 3, 2, 1]",0
adcccbcccbe,"[1, 4, 3, 3, 3, 2, 3, 3, 3, 2, 5]",0
cfadccccccf,"[3, 6, 1, 4, 3, 3, 3, 3, 3, 3, 6]",0
bccbdcbadcf,"[2, 3, 3, 2, 4, 3, 2, 1, 4, 3, 6]",0
eadcffcfead,"[5, 1, 4, 3, 6, 6, 3, 6, 5, 1, 4]",0
ffeadcbbbad,"[6, 6, 5, 1, 4, 3, 2, 2, 2, 1, 4]",0
cbbdcbffadc,"[3, 2, 2, 4, 3, 2, 6, 6, 1, 4, 3]",0
beadcbdccfe,"[2, 5, 1, 4, 3, 2, 4, 3, 3, 6, 5]",0
fcccfcfcccb,"[6, 3, 3, 3, 6, 3, 6, 3, 3, 3, 2]",0
adcbccfffea,"[1, 4, 3, 2, 3, 3, 6, 6, 6, 5, 1]",0
bdcbdcfcbad,"[2, 4, 3, 2, 4, 3, 6, 3, 2, 1, 4]",0
adcbeadccba,"[1, 4, 3, 2, 5, 1, 4, 3, 3, 2, 1]",0
feadcffeadc,"[6, 5, 1, 4, 3, 6, 6, 5, 1, 4, 3]",0
bcfcfadccfa,"[2, 3, 6, 3, 6, 1, 4, 3, 3, 6, 1]",0
adcbbfcbdcb,"[1, 4, 3, 2, 2, 6, 3, 2, 4, 3, 2]",0
cfeadcfcbcb,"[3, 6, 5, 1, 4, 3, 6, 3, 2, 3, 2]",0
cbbffadcbad,"[3, 2, 2, 6, 6, 1, 4, 3, 2, 1, 4]",0
eadcccfcbfe,"[5, 1, 4, 3, 3, 3, 6, 3, 2, 6, 5]",0
fffccccfcbc,"[6, 6, 6, 3, 3, 3, 3, 6, 3, 2, 3]",0
cbadcffffad,"[3, 2, 1, 4, 3, 6, 6, 6, 6, 1, 4]",0
adccbadccfe,"[1, 4, 3, 3, 2, 1, 4, 3, 3, 6, 5]",0
bbdcfeadccf,"[2, 2, 4, 3, 6, 5, 1, 4, 3, 3, 6]",0
bccfeadcffe,"[2, 3, 3, 6, 5, 1, 4, 3, 6, 6, 5]",0
fccfeadcbea,"[6, 3, 3, 6, 5, 1, 4, 3, 2, 5, 1]",0
fffeadccbea,"[6, 6, 6, 5, 1, 4, 3, 3, 2, 5, 1]",0
adcfeadcccb,"[1, 4, 3, 6, 5, 1, 4, 3, 3, 3, 2]",0
adcbadcbcff,"[1, 4, 3, 2, 1, 4, 3, 2, 3, 6, 6]",0
eadcbfccfea,"[5, 1, 4, 3, 2, 6, 3, 3, 6, 5, 1]",0
adccbcfeadc,"[1, 4, 3, 3, 2, 3, 6, 5, 1, 4, 3]",0
cfcbdcbcfad,"[3, 6, 3, 2, 4, 3, 2, 3, 6, 1, 4]",0
adccffcfead,"[1, 4, 3, 3, 6, 6, 3, 6, 5, 1, 4]",0
dcfccbfcccc,"[4, 3, 6, 3, 3, 2, 6, 3, 3, 3, 3]",0
eadcbdcbadc,"[5, 1, 4, 3, 2, 4, 3, 2, 1, 4, 3]",0
dcfadcbeadc,"[4, 3, 6, 1, 4, 3, 2, 5, 1, 4, 3]",0
bffeadcfadc,"[2, 6, 6, 5, 1, 4, 3, 6, 1, 4, 3]",0
feadcfadcbf,"[6, 5, 1, 4, 3, 6, 1, 4, 3, 2, 6]",0
adcfadcbcff,"[1, 4, 3, 6, 1, 4, 3, 2, 3, 6, 6]",0
beadcccfead,"[2, 5, 1, 4, 3, 3, 3, 6, 5, 1, 4]",0
cfadccccffa,"[3, 6, 1, 4, 3, 3, 3, 3, 6, 6, 1]",0
bcbdcccfadc,"[2, 3, 2, 4, 3, 3, 3, 6, 1, 4, 3]",0
adcbeadcfea,"[1, 4, 3, 2, 5, 1, 4, 3, 6, 5, 1]",0
cbadccbeadc,"[3, 2, 1, 4, 3, 3, 2, 5, 1, 4, 3]",0
bccffeadcba,"[2, 3, 3, 6, 6, 5, 1, 4, 3, 2, 1]",0
ccfcfcccbfe,"[3, 3, 6, 3, 6, 3, 3, 3, 2, 6, 5]",0
badcfadcbfe,"[2, 1, 4, 3, 6, 1, 4, 3, 2, 6, 5]",0
bccffcccbad,"[2, 3, 3, 6, 6, 3, 3, 3, 2, 1, 4]",0
dccbfcffadc,"[4, 3, 3, 2, 6, 3, 6, 6, 1, 4, 3]",0
feadccfcbad,"[6, 5, 1, 4, 3, 3, 6, 3, 2, 1, 4]",0
bcccfccffcf,"[2, 3, 3, 3, 6, 3, 3, 6, 6, 3, 6]",0
feadcfeadcc,"[6, 5, 1, 4, 3, 6, 5, 1, 4, 3, 3]",0
eadcfeadcfa,"[5, 1, 4, 3, 6, 5, 1, 4, 3, 6, 1]",0
eadcbadcbea,"[5, 1, 4, 3, 2, 1, 4, 3, 2, 5, 1]",0
dcbeadcbffe,"[4, 3, 2, 5, 1, 4, 3, 2, 6, 6, 5]",0
feadcbcfcff,"[6, 5, 1, 4, 3, 2, 3, 6, 3, 6, 6]",0
adcfadcbfcb,"[1, 4, 3, 6, 1, 4, 3, 2, 6, 3, 2]",0
cbbbbcbbadc,"[3, 2, 2, 2, 2, 3, 2, 2, 1, 4, 3]",0
eadcfcfeadc,"[5, 1, 4, 3, 6, 3, 6, 5, 1, 4, 3]",0
adcfeadcbea,"[1, 4, 3, 6, 5, 1, 4, 3, 2, 5, 1]",0
adcfeadcbea,"[1, 4, 3, 6, 5, 1, 4, 3, 2, 5, 1]",0
cbfadcbcfad,"[3, 2, 6, 1, 4, 3, 2, 3, 6, 1, 4]",0
ccbfeadcccb,"[3, 3, 2, 6, 5, 1, 4, 3, 3, 3, 2]",0
eadcbfeadcb,"[5, 1, 4, 3, 2, 6, 5, 1, 4, 3, 2]",0
fcbadcbadcf,"[6, 3, 2, 1, 4, 3, 2, 1, 4, 3, 6]",0
dcbbbfccbcf,"[4, 3, 2, 2, 2, 6, 3, 3, 2, 3, 6]",0
eadcbdcbadc,"[5, 1, 4, 3, 2, 4, 3, 2, 1, 4, 3]",0
ccccfffcfea,"[3, 3, 3, 3, 6, 6, 6, 3, 6, 5, 1]",0
feadcffcbbb,"[6, 5, 1, 4, 3, 6, 6, 3, 2, 2, 2]",0
feadcbcccbe,"[6, 5, 1, 4, 3, 2, 3, 3, 3, 2, 5]",0
dcccfccfead,"[4, 3, 3, 3, 6, 3, 3, 6, 5, 1, 4]",0
fadcfeadcfa,"[6, 1, 4, 3, 6, 5, 1, 4, 3, 6, 1]",0
adcfcccbfcf,"[1, 4, 3, 6, 3, 3, 3, 2, 6, 3, 6]",0
feadcbadccf,"[6, 5, 1, 4, 3, 2, 1, 4, 3, 3, 6]",0
dcbfcbeadcc,"[4, 3, 2, 6, 3, 2, 5, 1, 4, 3, 3]",0
dccbcffccbd,"[4, 3, 3, 2, 3, 6, 6, 3, 3, 2, 4]",0
dcbcfeadcbd,"[4, 3, 2, 3, 6, 5, 1, 4, 3, 2, 4]",0
fcbdcbdcbbd,"[6, 3, 2, 4, 3, 2, 4, 3, 2, 2, 4]",0
dcbdcfadcbf,"[4, 3, 2, 4, 3, 6, 1, 4, 3, 2, 6]",0
beadcbadccb,"[2, 5, 1, 4, 3, 2, 1, 4, 3, 3, 2]",0
feadcfadcbe,"[6, 5, 1, 4, 3, 6, 1, 4, 3, 2, 5]",0
beadcccccbf,"[2, 5, 1, 4, 3, 3, 3, 3, 3, 2, 6]",0
ffeadcbeadc,"[6, 6, 5, 1, 4, 3, 2, 5, 1, 4, 3]",0
bdcfeadccba,"[2, 4, 3, 6, 5, 1, 4, 3, 3, 2, 1]",0
eadccfcbfcf,"[5, 1, 4, 3, 3, 6, 3, 2, 6, 3, 6]",0
beadcfcccfc,"[2, 5, 1, 4, 3, 6, 3, 3, 3, 6, 3]",0
bccbdcbeadc,"[2, 3, 3, 2, 4, 3, 2, 5, 1, 4, 3]",0
adccffadcbc,"[1, 4, 3, 3, 6, 6, 1, 4, 3, 2, 3]",0
eadcccbffcc,"[5, 1, 4, 3, 3, 3, 2, 6, 6, 3, 3]",0
fccffeadccc,"[6, 3, 3, 6, 6, 5, 1, 4, 3, 3, 3]",0
dcbbcfcbcbe,"[4, 3, 2, 2, 3, 6, 3, 2, 3, 2, 5]",0
cfeadcfccfa,"[3, 6, 5, 1, 4, 3, 6, 3, 3, 6, 1]",0
dcbbadccbea,"[4, 3, 2, 2, 1, 4, 3, 3, 2, 5, 1]",0
bbadccbadcf,"[2, 2, 1, 4, 3, 3, 2, 1, 4, 3, 6]",0
fadccfccbad,"[6, 1, 4, 3, 3, 6, 3, 3, 2, 1, 4]",0
bdccccccbea,"[2, 4, 3, 3, 3, 3, 3, 3, 2, 5, 1]",0
dcfadcbbccb,"[4, 3, 6, 1, 4, 3, 2, 2, 3, 3, 2]",0
bbcfcbfcfff,"[2, 2, 3, 6, 3, 2, 6, 3, 6, 6, 6]",0
feadcfcbcbc,"[6, 5, 1, 4, 3, 6, 3, 2, 3, 2, 3]",0
cbbadccfffc,"[3, 2, 2, 1, 4, 3, 3, 6, 6, 6, 3]",0
cfcfeadcccc,"[3, 6, 3, 6, 5, 1, 4, 3, 3, 3, 3]",0
eadcfeadcbe,"[5, 1, 4, 3, 6, 5, 1, 4, 3, 2, 5]",0
cccfcccffcc,"[3, 3, 3, 6, 3, 3, 3, 6, 6, 3, 3]",0
dcbdcfcfadc,"[4, 3, 2, 4, 3, 6, 3, 6, 1, 4, 3]",0
badcbbccbad,"[2, 1, 4, 3, 2, 2, 3, 3, 2, 1, 4]",0
ffcbbdcbfad,"[6, 6, 3, 2, 2, 4, 3, 2, 6, 1, 4]",0
dcccccfadcf,"[4, 3, 3, 3, 3, 3, 6, 1, 4, 3, 6]",0
adcccbbbbdc,"[1, 4, 3, 3, 3, 2, 2, 2, 2, 4, 3]",0
eadcfadcbbd,"[5, 1, 4, 3, 6, 1, 4, 3, 2, 2, 4]",0
eadcfffccbb,"[5, 1, 4, 3, 6, 6, 6, 3, 3, 2, 2]",0
eadcbadcbcb,"[5, 1, 4, 3, 2, 1, 4, 3, 2, 3, 2]",0
feadcfffadc,"[6, 5, 1, 4, 3, 6, 6, 6, 1, 4, 3]",0
eadcfccbcbd,"[5, 1, 4, 3, 6, 3, 3, 2, 3, 2, 4]",0
eadcfeadccc,"[5, 1, 4, 3, 6, 5, 1, 4, 3, 3, 3]",0
cbeadcbeadc,"[3, 2, 5, 1, 4, 3, 2, 5, 1, 4, 3]",0
dcfcfadcccc,"[4, 3, 6, 3, 6, 1, 4, 3, 3, 3, 3]",0
dcfeadcccff,"[4, 3, 6, 5, 1, 4, 3, 3, 3, 6, 6]",0
ffadccbcbea,"[6, 6, 1, 4, 3, 3, 2, 3, 2, 5, 1]",0
bccffeadcfa,"[2, 3, 3, 6, 6, 5, 1, 4, 3, 6, 1]",0
bdcbcbeadcb,"[2, 4, 3, 2, 3, 2, 5, 1, 4, 3, 2]",0
cfeadccfadc,"[3, 6, 5, 1, 4, 3, 3, 6, 1, 4, 3]",0
bcbadcccbfc,"[2, 3, 2, 1, 4, 3, 3, 3, 2, 6, 3]",0
eadcbdcfcff,"[5, 1, 4, 3, 2, 4, 3, 6, 3, 6, 6]",0
cbbbdcfadcc,"[3, 2, 2, 2, 4, 3, 6, 1, 4, 3, 3]",0
adcfeadcfad,"[1, 4, 3, 6, 5, 1, 4, 3, 6, 1, 4]",0
adcfeadccbc,"[1, 4, 3, 6, 5, 1, 4, 3, 3, 2, 3]",0
adcfcbadccf,"[1, 4, 3, 6, 3, 2, 1, 4, 3, 3, 6]",0
fcffeadcbea,"[6, 3, 6, 6, 5, 1, 4, 3, 2, 5, 1]",0
adccbbffead,"[1, 4, 3, 3, 2, 2, 6, 6, 5, 1, 4]",0
feadcfadcfe,"[6, 5, 1, 4, 3, 6, 1, 4, 3, 6, 5]",0
cfccffadccf,"[3, 6, 3, 3, 6, 6, 1, 4, 3, 3, 6]",0
adccbfeadcc,"[1, 4, 3, 3, 2, 6, 5, 1, 4, 3, 3]",0
eadccfeadcf,"[5, 1, 4, 3, 3, 6, 5, 1, 4, 3, 6]",0
eadcfadcfea,"[5, 1, 4, 3, 6, 1, 4, 3, 6, 5, 1]",0
adcbdccccfe,"[1, 4, 3, 2, 4, 3, 3, 3, 3, 6, 5]",0
fffcfeadcbe,"[6, 6, 6, 3, 6, 5, 1, 4, 3, 2, 5]",0
ffeadccffea,"[6, 6, 5, 1, 4, 3, 3, 6, 6, 5, 1]",0
cbcbadccbad,"[3, 2, 3, 2, 1, 4, 3, 3, 2, 1, 4]",0
eadccbdcfcb,"[5, 1, 4, 3, 3, 2, 4, 3, 6, 3, 2]",0
adcfeadcbfa,"[1, 4, 3, 6, 5, 1, 4, 3, 2, 6, 1]",0
dcbdcfadccf,"[4, 3, 2, 4, 3, 6, 1, 4, 3, 3, 6]",0
ffadcbfcbff,"[6, 6, 1, 4, 3, 2, 6, 3, 2, 6, 6]",0
eadccbdcffa,"[5, 1, 4, 3, 3, 2, 4, 3, 6, 6, 1]",0
eadcfeadcba,"[5, 1, 4, 3, 6, 5, 1, 4, 3, 2, 1]",0
bdccfeadcbe,"[2, 4, 3, 3, 6, 5, 1, 4, 3, 2, 5]",0
cbbcbffadcf,"[3, 2, 2, 3, 2, 6, 6, 1, 4, 3, 6]",0
eadcbccccff,"[5, 1, 4, 3, 2, 3, 3, 3, 3, 6, 6]",0
dccffeadcfa,"[4, 3, 3, 6, 6, 5, 1, 4, 3, 6, 1]",0
eadcbccbbfa,"[5, 1, 4, 3, 2, 3, 3, 2, 2, 6, 1]",0
dcbeadcffad,"[4, 3, 2, 5, 1, 4, 3, 6, 6, 1, 4]",0
ffcfcbcbead,"[6, 6, 3, 6, 3, 2, 3, 2, 5, 1, 4]",0
ffadcbffcfe,"[6, 6, 1, 4, 3, 2, 6, 6, 3, 6, 5]",0
fadcccfcccb,"[6, 1, 4, 3, 3, 3, 6, 3, 3, 3, 2]",0
bbeadcfcccb,"[2, 2, 5, 1, 4, 3, 6, 3, 3, 3, 2]",0
eadcfeadccf,"[5, 1, 4, 3, 6, 5, 1, 4, 3, 3, 6]",0
fadcfffcbbe,"[6, 1, 4, 3, 6, 6, 6, 3, 2, 2, 5]",0
fccfadccfea,"[6, 3, 3, 6, 1, 4, 3, 3, 6, 5, 1]",0
adcbbdcbdcc,"[1, 4, 3, 2, 2, 4, 3, 2, 4, 3, 3]",0
adcbfcfadcb,"[1, 4, 3, 2, 6, 3, 6, 1, 4, 3, 2]",0
feadccbdccf,"[6, 5, 1, 4, 3, 3, 2, 4, 3, 3, 6]",0
eadccfccfea,"[5, 1, 4, 3, 3, 6, 3, 3, 6, 5, 1]",0
eadcfadcfcf,"[5, 1, 4, 3, 6, 1, 4, 3, 6, 3, 6]",0
dcfadccfadc,"[4, 3, 6, 1, 4, 3, 3, 6, 1, 4, 3]",0
ffcbdccffea,"[6, 6, 3, 2, 4, 3, 3, 6, 6, 5, 1]",0
cccbbcffcff,"[3, 3, 3, 2, 2, 3, 6, 6, 3, 6, 6]",0
adcfeadcfea,"[1, 4, 3, 6, 5, 1, 4, 3, 6, 5, 1]",0
fcbadcbbdcb,"[6, 3, 2, 1, 4, 3, 2, 2, 4, 3, 2]",0
eadcbeadcfa,"[5, 1, 4, 3, 2, 5, 1, 4, 3, 6, 1]",0
dcbeadcbdcb,"[4, 3, 2, 5, 1, 4, 3, 2, 4, 3, 2]",0
bdcfadcbfad,"[2, 4, 3, 6, 1, 4, 3, 2, 6, 1, 4]",0
cbadcffcfcb,"[3, 2, 1, 4, 3, 6, 6, 3, 6, 3, 2]",0
eadcffcbead,"[5, 1, 4, 3, 6, 6, 3, 2, 5, 1, 4]",0
beadccfadcf,"[2, 5, 1, 4, 3, 3, 6, 1, 4, 3, 6]",0
adccfadccba,"[1, 4, 3, 3, 6, 1, 4, 3, 3, 2, 1]",0
bbbbeadcbdc,"[2, 2, 2, 2, 5, 1, 4, 3, 2, 4, 3]",0
dcfeadccccf,"[4, 3, 6, 5, 1, 4, 3, 3, 3, 3, 6]",0
bcbadcbadcf,"[2, 3, 2, 1, 4, 3, 2, 1, 4, 3, 6]",0
feadccfadcf,"[6, 5, 1, 4, 3, 3, 6, 1, 4, 3, 6]",0
badcffeadcf,"[2, 1, 4, 3, 6, 6, 5, 1, 4, 3, 6]",0
dcfcfadccbc,"[4, 3, 6, 3, 6, 1, 4, 3, 3, 2, 3]",0
dcbbeadcbea,"[4, 3, 2, 2, 5, 1, 4, 3, 2, 5, 1]",0
adccbeadccb,"[1, 4, 3, 3, 2, 5, 1, 4, 3, 3, 2]",0
dccbbeadcbf,"[4, 3, 3, 2, 2, 5, 1, 4, 3, 2, 6]",0
cfffeadccfc,"[3, 6, 6, 6, 5, 1, 4, 3, 3, 6, 3]",0
bbdcfadcccb,"[2, 2, 4, 3, 6, 1, 4, 3, 3, 3, 2]",0
feadcfeadcf,"[6, 5, 1, 4, 3, 6, 5, 1, 4, 3, 6]",0
cfffffcfadc,"[3, 6, 6, 6, 6, 6, 3, 6, 1, 4, 3]",0
adcbbffeadc,"[1, 4, 3, 2, 2, 6, 6, 5, 1, 4, 3]",0
cbeadccbdcb,"[3, 2, 5, 1, 4, 3, 3, 2, 4, 3, 2]",0
adccbadccfe,"[1, 4, 3, 3, 2, 1, 4, 3, 3, 6, 5]",0
feadcbcbbdc,"[6, 5, 1, 4, 3, 2, 3, 2, 2, 4, 3]",0
fadcfcbcbff,"[6, 1, 4, 3, 6, 3, 2, 3, 2, 6, 6]",0
eadcfffadcc,"[5, 1, 4, 3, 6, 6, 6, 1, 4, 3, 3]",0
eadcbadcbff,"[5, 1, 4, 3, 2, 1, 4, 3, 2, 6, 6]",0
badcbeadcbf,"[2, 1, 4, 3, 2, 5, 1, 4, 3, 2, 6]",0
bfadccbbadc,"[2, 6, 1, 4, 3, 3, 2, 2, 1, 4, 3]",0
eadccfeadcb,"[5, 1, 4, 3, 3, 6, 5, 1, 4, 3, 2]",0
cfcbdcbeadc,"[3, 6, 3, 2, 4, 3, 2, 5, 1, 4, 3]",0
ccbeadcbcba,"[3, 3, 2, 5, 1, 4, 3, 2, 3, 2, 1]",0
adcccfadcff,"[1, 4, 3, 3, 3, 6, 1, 4, 3, 6, 6]",0
cffeadcbfad,"[3, 6, 6, 5, 1, 4, 3, 2, 6, 1, 4]",0
cccccffccba,"[3, 3, 3, 3, 3, 6, 6, 3, 3, 2, 1]",0
fffccbadcfc,"[6, 6, 6, 3, 3, 2, 1, 4, 3, 6, 3]",0
ccffcbfeadc,"[3, 3, 6, 6, 3, 2, 6, 5, 1, 4, 3]",0
fadcbccbccc,"[6, 1, 4, 3, 2, 3, 3, 2, 3, 3, 3]",0
feadcccbead,"[6, 5, 1, 4, 3, 3, 3, 2, 5, 1, 4]",0
dcfeadcfadc,"[4, 3, 6, 5, 1, 4, 3, 6, 1, 4, 3]",0
cccfadcbbdc,"[3, 3, 3, 6, 1, 4, 3, 2, 2, 4, 3]",0
ffffcbfffad,"[6, 6, 6, 6, 3, 2, 6, 6, 6, 1, 4]",0
cbfadcbfead,"[3, 2, 6, 1, 4, 3, 2, 6, 5, 1, 4]",0
ccbfeadcccf,"[3, 3, 2, 6, 5, 1, 4, 3, 3, 3, 6]",0
cbbadccbead,"[3, 2, 2, 1, 4, 3, 3, 2, 5, 1, 4]",0
adccbdcbcba,"[1, 4, 3, 3, 2, 4, 3, 2, 3, 2, 1]",0
adcccbbdccf,"[1, 4, 3, 3, 3, 2, 2, 4, 3, 3, 6]",0
fadccbccccf,"[6, 1, 4, 3, 3, 2, 3, 3, 3, 3, 6]",0
eadcbeadcbb,"[5, 1, 4, 3, 2, 5, 1, 4, 3, 2, 2]",0
adccbfcbadc,"[1, 4, 3, 3, 2, 6, 3, 2, 1, 4, 3]",0
adcbbcccfad,"[1, 4, 3, 2, 2, 3, 3, 3, 6, 1, 4]",0
